state,electorate,site_id,latitude,longitude,legs,description,layout_1,layout_1_enter,layout_2,layout_2_enter,layout_3,layout_3_enter,layout_4,layout_4_enter,layout_5,layout_5_enter,layout_6,layout_6_enter,leg1-2,leg1-3,leg1-4,leg1-5,leg1-6,leg2-1,leg2-3,leg2-4,leg2-5,leg2-6,leg3-1,leg3-2,leg3-4,leg3-5,leg3-6,leg4-1,leg4-2,leg4-3,leg4-5,leg4-6,leg5-1,leg5-2,leg5-3,leg5-4,leg5-6,leg6-1,leg6-2,leg6-3,leg6-4,leg6-5,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,female,male,not known,total,year,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,location,geolocation
VIC,Melbourne,4405,-37.793993,144.941956,3,"Melrose St [N], Melrose St [S], Mark St [W]",8,188,188,8,278,98,,,,,,,20,4,,,,7,3,,,,2,6,,,,,,,,,,,,,,,,,,,24,9,33,10,26,36,8,7,15,,,,,,,,,,18,23,1,42,2017,2,5,6,4,4,2,8,11,POINT (144.941956 -37.793993),"-37.793993, 144.941956"
VIC,Melbourne,4412,-37.799747,144.957474,4,"Royal Pde [N], Grattan St [E], Royal Pde (city) [S], Grattan St [W]",6,186,98,278,185,5,278,98,,,,,37,889,10,,,19,35,53,,,35,7,1,,,14,207,0,,,,,,,,,,,,,936,68,1004,107,251,358,43,924,967,221,64,285,,,,,,,492,815,0,1307,2017,70,86,119,161,173,211,211,276,POINT (144.957474 -37.799747),"-37.799747, 144.957474"
VIC,Melbourne,4427,-37.811749,144.956451,4,"La Trobe towards Exhibition St [E], William St [S], La Trobe St [W], William St [N]",70,250,160,340,250,70,340,160,,,,,124,213,2,,,9,14,42,,,234,74,19,,,22,418,98,,,,,,,,,,,,,339,265,604,65,616,681,327,325,652,538,63,601,,,,,,,345,923,1,1269,2017,41,89,113,173,170,226,257,200,POINT (144.956451 -37.811749000000006),"-37.811749, 144.956451"
VIC,Melbourne,4985,-37.787695,144.925278,4,"Clarence St [N], Racecourse Rd [E], Smithfield Rd [SW], Racecourse Rd [W]",8,188,98,278,233,53,277,97,,,,,3,0,0,,,1,14,7,,,0,20,0,,,0,35,0,,,,,,,,,,,,,3,1,4,22,58,80,20,14,34,35,7,42,,,,,,,28,52,0,80,2017,2,6,7,4,20,11,15,15,POINT (144.925278 -37.787695),"-37.787695, 144.925278"
VIC,Melbourne,4409,-37.795421,144.93885,5,"Boundary Rd [N], Canning St [E], Macaulay Rd [SE], Boundary Rd [S], Macaulay Rd [W]",8,188,98,278,140,320,188,8,278,98,,,0,2,0,2,,0,0,0,3,,2,0,0,17,,1,0,0,0,,2,34,166,0,,,,,,,4,5,9,3,34,37,19,168,187,1,0,1,202,22,224,,,,74,152,3,229,2017,17,18,26,27,32,31,37,41,POINT (144.93885 -37.795421),"-37.795421, 144.93885"
VIC,Melbourne,4414,-37.804562,144.963226,4,"Swanston St [N], Queensberry St [E], Swanston St [S], Queensberry St [W]",8,188,98,278,188,8,278,98,,,,,22,362,3,,,8,32,129,,,153,9,26,,,10,170,125,,,,,,,,,,,,,387,171,558,169,201,370,188,519,707,305,158,463,,,,,,,382,664,3,1049,2017,32,78,97,96,136,186,223,201,POINT (144.963226 -37.804562),"-37.804562, 144.963226"
VIC,Melbourne,4416,-37.808155,144.968765,4,"Exhibition St [N], La Trobe St [E], Exhibition St [S], La Trobe St [W]",6,186,70,250,160,340,250,70,,,,,1,569,376,,,2,13,164,,,29,1,10,,,1,25,71,,,,,,,,,,,,,946,32,978,179,27,206,40,653,693,97,550,647,,,,,,,443,819,0,1262,2017,49,76,118,147,181,237,244,210,POINT (144.968765 -37.808155),"-37.808155, 144.968765"
VIC,Melbourne,4449,-37.824209,144.952186,4,"South Wharf Prom [E], Capital City Trail [SE], Capital City Trail [W], Seafarers Bridge [N]",83,263,125,305,262,82,340,160,,,,,1,0,1,,,2,129,395,,,0,52,53,,,0,319,9,,,,,,,,,,,,,2,2,4,526,372,898,105,138,243,328,449,777,,,,,,,212,748,1,961,2017,53,71,111,121,179,157,143,126,POINT (144.952186 -37.824209),"-37.824209, 144.952186"
VIC,Melbourne,4454,-37.78757,144.939982,5,"Capital City Trail Ramp [NE], Flemington Rd [SE], Capital City Trail [SW], Moonee Ponds Crk Trail [NW], Mt Alexander Rd [N]",64,244,138,318,235,55,300,120,340,160,,,5,427,0,23,,0,5,0,9,,61,4,1,16,,0,0,0,0,,36,37,193,34,,,,,,,455,97,552,14,46,60,82,625,707,0,35,35,300,48,348,,,,210,641,0,851,2017,65,81,107,135,159,124,108,72,POINT (144.939982 -37.78757),"-37.78757, 144.939982"
VIC,Melbourne,4413,-37.800289,144.943954,4,"Arden St towards Curzon St [E], Drvyburgh St [S], Arden St [W], Macaulay Rd [NW]",98,278,188,8,278,98,320,140,,,,,2,27,13,,,0,2,4,,,237,3,0,,,90,46,1,,,,,,,,,,,,,42,327,369,6,51,57,240,30,270,137,17,154,,,,,,,123,292,10,425,2017,28,29,49,51,65,66,73,64,POINT (144.943954 -37.800289),"-37.800289, 144.943954"
VIC,Melbourne,4417,-37.808903,144.966278,4,"La Trobe St [E], Russell St (city) [S], La Trobe St [W], Russell St [N]",70,250,160,340,250,70,340,160,,,,,19,532,4,,,1,3,7,,,119,33,9,,,2,39,25,,,,,,,,,,,,,555,122,677,11,91,102,161,560,721,66,20,86,,,,,,,238,555,0,793,2017,30,53,71,102,129,146,139,123,POINT (144.966278 -37.808903),"-37.808903, 144.966278"
VIC,Melbourne,4444,-37.822382,144.947632,5,"Path to McCrae St [E], Jim Stynes Bridge [SE], Webb Bridge [S], Navigation Drive [W], Harbour Esp [N]",86,266,150,330,175,355,281,101,348,168,,,2,0,2,1,,16,2,83,92,,0,1,4,33,,8,11,1,25,,13,386,74,139,,,,,,,5,37,42,193,400,593,38,77,115,45,228,273,612,151,763,,,,202,688,3,893,2017,63,82,90,109,141,152,156,100,POINT (144.947632 -37.822382),"-37.822382, 144.947632"
